20130101,Jour de l'An
20130401, Lundi de Pâques
20130501, Fête du Travail
20130508, Armistice 1945
20130520, Lundi de Pentecôte
20130714, Fête Nationale
20130815, Assomption
20131101, Toussaint
20131111, Armistice 1918
20131225, Noël
20140101,Jour de l'An
20140106, Soutenance
20140401, Lundi de Pâques
20140501, Fête du Travail
20140508, Armistice 1945
20140520, Lundi de Pentecôte
20140714, Fête Nationale
20140815, Assomption
20141101, Toussaint
20141111, Armistice 1918
20141225, Noël
20140114, Essai,10:00,15:00
20140114, MOI, 10:00,11:00
